Year,Quarter,Month,Day,Country,Aircraft,Location,Operator,Ground,Aboard,Month_Num,Month_Name,Date,Fatalities_Air,Survived,Survival_Rate,Fatality_Rate,Total_Deaths,Manufacturer,Total_Fatalities,YearMonth
1949,Qtr 4,December,12,Pakistan,Douglas DC 3AP,Jungshahi Pakistan,Pakair,0,26,12,December,1949-12-12,26,0,0.0,1.0,26,Douglas,26,1949-12
1972,Qtr 4,December,8,Pakistan,Fokker F 27 Friendship 400AP,Near Rawalpindi Pakistan,Airlines International Pakistan,0,26,12,December,1972-12-08,26,0,0.0,1.0,26,Fokker,26,1972-12
1997,Qtr 4,December,31,Panama,Britten Norman BN 2A TrislanderHP,Rio Sidra Panama,Parsa,0,10,12,December,1997-12-31,10,0,0.0,1.0,10,Britten Norman,10,1997-12
2002,Qtr 4,December,13,Papua,Britten Norman BN,Gohu Airstrip Papua,Ltd. Airways GuineaIsland New,0,8,12,December,2002-12-13,8,0,0.0,1.0,8,Britten,8,2002-12
1995,Qtr 4,December,22,Papua,Britten Norman BN 2A,Bagasin Papua,Airways GuineaIsland New,0,12,12,December,1995-12-22,2,10,83.33333333333334,0.16666666666666666,2,Britten Norman,2,1995-12
1951,Qtr 4,December,13,Papua,de Havilland DH 84 DragonVH,Yaramunda Papua,New Guinea Qantas,0,3,12,December,1951-12-13,3,0,0.0,1.0,3,De Havilland,3,1951-12
1979,Qtr 4,December,23,Papua,GAF Nomad 22BP2 DNL,Menari Papua,Airways GuineaDouglas New,0,16,12,December,1979-12-23,16,0,0.0,1.0,16,GAF Nomad,16,1979-12
2016,Qtr 4,December,18,Papua,Lockheed C 130H Hercules A,Near Wamena Papua,Indonesia Indonesian Air Force,0,13,12,December,2016-12-18,13,0,0.0,1.0,13,Lockheed,13,2016-12
1968,Qtr 4,December,24,Pennsylvania,Convair CV 580N5802,Bradford Pennsylvania,Airlines Allegheny,0,47,12,December,1968-12-24,20,27,57.446808510638306,0.425531914893617,20,Convair,20,1968-12
1936,Qtr 4,December,19,Pennsylvania,Douglas DC 2,Near Milford Pennsylvania,Lines Air Eastern,0,11,12,December,1936-12-19,0,11,100.0,0.0,0,Douglas,0,1936-12
1954,Qtr 4,December,22,Pennsylvania,Douglas DC 3N24320,Pittsburgh Pennsylvania,Service Flying Johnson,0,28,12,December,1954-12-22,10,18,64.28571428571429,0.35714285714285715,10,Douglas,10,1954-12
1959,Qtr 4,December,1,Pennsylvania,Martin 202N174A,Willamsport Pennsylvania,Airlines Allegheny,0,26,12,December,1959-12-01,25,1,3.8461538461538463,0.9615384615384616,25,Martin,25,1959-12
1979,Qtr 4,December,22,Peru,de Havilland Canada DHC 5 BuffaloFAP,Near Puerto Esperanza Peru,Peru del Aérea Fuerza,0,29,12,December,1979-12-22,29,0,0.0,1.0,29,de Havilland Canada,29,1979-12
1984,Qtr 4,December,19,Peru,de Havilland Canada DHC 6 Twin Otter 300FAP,Near Jaen Peru,Peru del Aérea Fuerza - Military,0,21,12,December,1984-12-19,21,0,0.0,1.0,21,de Havilland Canada,21,1984-12
1976,Qtr 4,December,31,Peru,Douglas C 54A,Near Trujillo Peru,Faucett,0,19,12,December,1976-12-31,19,0,0.0,1.0,19,Douglas,19,1976-12
1964,Qtr 4,December,24,Peru,Douglas DC 3OB,Yurimaguas Peru,SATCO,0,23,12,December,1964-12-24,1,22,95.65217391304348,0.043478260869565216,1,Douglas,1,1964-12
1967,Qtr 4,December,8,Peru,Douglas DC C,Carpich Huanuco Mt. Peru,Faucett,0,72,12,December,1967-12-08,72,0,0.0,1.0,72,Douglas,72,1967-12
1987,Qtr 4,December,8,Peru,Fokker F 27 Friendship 400MAE,Off Lima Peru,Aviation Naval Peruvian,0,43,12,December,1987-12-08,42,1,2.3255813953488373,0.9767441860465116,42,Fokker,42,1987-12
1957,Qtr 4,December,11,Philippines,de Havilland Canada DHC 3 OtterPI,Ozamis City Philippines,Lines Air Philippine,0,12,12,December,1957-12-11,2,10,83.33333333333334,0.16666666666666666,2,de Havilland Canada,2,1957-12
1950,Qtr 4,December,19,Philippines,Douglas C54E DO (DC,Near Baguio Philippines,Force Air U.S. - Military,0,38,12,December,1950-12-19,38,0,0.0,1.0,38,Douglas,38,1950-12
1946,Qtr 4,December,14,Philippines,Douglas DC 3 (C,Mt. Banahaur Philippines,Transport Air Eastern Far,0,14,12,December,1946-12-14,12,2,14.285714285714285,0.8571428571428571,12,Douglas,12,1946-12
1965,Qtr 4,December,16,Philippines,Douglas DC 3API,Legaspi Philippines,Manila Air,0,21,12,December,1965-12-16,2,19,90.47619047619048,0.09523809523809523,2,Douglas,2,1965-12
1960,Qtr 4,December,22,Philippines,Douglas DC 3PI,Cebu City Philippines,Lines Air Philippine,0,37,12,December,1960-12-22,28,9,24.324324324324326,0.7567567567567568,28,Douglas,28,1960-12
1964,Qtr 4,December,21,Philippines,Douglas DC 3PI,Near Kaliba Philippines,Transport System Airways Fleming,0,39,12,December,1964-12-21,1,38,97.43589743589743,0.02564102564102564,1,Douglas,1,1964-12
1999,Qtr 4,December,7,Philippines,Let 410UVPRP C,Near Bayombang Philippines,Spirit Asian,0,17,12,December,1999-12-07,17,0,0.0,1.0,17,Let,17,1999-12
1993,Qtr 4,December,15,Philippines,Lockheed C 130H4761,Near Naga Philippines,Force Air Philippine - Military,0,29,12,December,1993-12-15,29,0,0.0,1.0,29,Lockheed,29,1993-12
1987,Qtr 4,December,13,Philippines,Shorts 360 300EI,Near Iligan Philippines,Lines Air Philippine,0,15,12,December,1987-12-13,15,0,0.0,1.0,15,Short,15,1987-12
1935,Qtr 4,December,24,Poland,Heinkel He 70D,Wroctaw Poland,Lufthansa Deutsche,0,3,12,December,1935-12-24,3,0,0.0,1.0,3,Heinkel,3,1935-12
1962,Qtr 4,December,19,Poland,Vickers Viscount 804SP LVB,Warsaw Poland,Airlines Polish Lot,0,33,12,December,1962-12-19,33,0,0.0,1.0,33,Vickers Viscount,33,1962-12
1977,Qtr 4,December,18,Portugal,Aerospatiale Caravelle 10RHB ICK,Off Madeira Portugal,SATA,0,57,12,December,1977-12-18,36,21,36.84210526315789,0.631578947368421,36,Aerospatiale Caravelle,36,1977-12
1977,Qtr 4,December,19,Puerto,Britten Norman BN,Vieques Puerto,Link Air RicoVieques,0,10,12,December,1977-12-19,5,5,50.0,0.5,5,Britten,5,1977-12
1948,Qtr 4,December,28,Puerto,Douglas DC 3DSTN16002,Off San Juan Puerto,Transport RicoAirborne,0,32,12,December,1948-12-28,32,0,0.0,1.0,32,Douglas,32,1948-12
1972,Qtr 4,December,31,Puerto,Douglas DC 7CFN500AE,San Juan Puerto,Leasing Express RicoAmerican,0,5,12,December,1972-12-31,5,0,0.0,1.0,5,Douglas,5,1972-12
2008,Qtr 4,December,3,Puerto,Rockwell International 690BN318WA,San Juan Puerto,Inc. Services Aviation RicoWebstas,0,3,12,December,2008-12-03,3,0,0.0,1.0,3,Rockwell International,3,2008-12
1980,Qtr 4,December,23,Qatar,Lockheed L 1011,Qatar Qatar,Airlines Arabian Saudi,0,291,12,December,1980-12-23,2,289,99.3127147766323,0.006872852233676976,2,Lockheed,2,1980-12
1957,Qtr 4,December,10,Quebec,Douglas C 47ACF,Jeannine Lake Quebec,Canada Northern Wings,0,10,12,December,1957-12-10,3,7,70.0,0.3,3,Douglas,3,1957-12
1974,Qtr 4,December,29,Romania,Antonov AN 24RVYR,Near Sibiu Romania,TAROM,0,33,12,December,1974-12-29,33,0,0.0,1.0,33,Antonov,33,1974-12
1989,Qtr 4,December,28,Romania,Antonov AN 24RVYR,Near Visina Romania,TAROM,0,7,12,December,1989-12-28,7,0,0.0,1.0,7,Antonov,7,1989-12
1970,Qtr 4,December,7,Romania,BAC One Eleven 424EUYR,Near Constanta Romania,TAROM,0,27,12,December,1970-12-07,19,8,29.629629629629626,0.7037037037037037,19,BAC,19,1970-12
2013,Qtr 4,December,26,Russia,Antonov 1212162,Irkutsk Russia,Ir,0,9,12,December,2013-12-26,9,0,0.0,1.0,9,Antonov,9,2013-12
1996,Qtr 4,December,17,Russia,Antonov AN 12?,Tver Russia,Force Air Russian - Military,0,18,12,December,1996-12-17,18,0,0.0,1.0,18,Antonov,18,1996-12
1997,Qtr 4,December,5,Russia,Antonov AN 124,Irkutsk-2 Russia,Force Air Russian - Military,44,23,12,December,1997-12-05,23,0,0.0,1.0,67,Antonov,67,1997-12
1969,Qtr 4,December,6,Russia,Antonov An 12PLCCCP,Near Khantanga Russia,Aeroflot,0,8,12,December,1969-12-06,8,0,0.0,1.0,8,Antonov,8,1969-12
1974,Qtr 4,December,4,Russia,Antonov An 2 / Antonov An,Irkutsk Russia,Aeroflot,0,18,12,December,1974-12-04,13,5,27.77777777777778,0.7222222222222222,13,Antonov,13,1974-12
1983,Qtr 4,December,24,Russia,Antonov AN 24CCCP,Leshukonskoye Russia,Aeroflot,0,49,12,December,1983-12-24,44,5,10.204081632653061,0.8979591836734694,44,Antonov,44,1983-12
1971,Qtr 4,December,1,Russia,Antonov AN 24CCCP,Saratov Russia,Aeroflot,0,57,12,December,1971-12-01,57,0,0.0,1.0,57,Antonov,57,1971-12
1979,Qtr 4,December,9,Russia,Antonov AN 26CCCP,Cherskiy Russia,Aeroflot,0,7,12,December,1979-12-09,7,0,0.0,1.0,7,Antonov,7,1979-12
1982,Qtr 4,December,23,Russia,Antonov AN 26CCCP,Rostov-on-Don Russia,Aeroflot,0,16,12,December,1982-12-23,16,0,0.0,1.0,16,Antonov,16,1982-12
1936,Qtr 4,December,6,Russia,Antonov AN 9CCCP,Near Moscow Russia,Deruluft,0,14,12,December,1936-12-06,9,5,35.714285714285715,0.6428571428571429,9,Antonov,9,1936-12
1945,Qtr 4,December,25,Russia,Douglas DC 3?,Near Dudinka Russia,Aviatsiya Polyarnya,0,10,12,December,1945-12-25,10,0,0.0,1.0,10,Douglas,10,1945-12
1999,Qtr 4,December,5,Russia,Ilyushin 114TUK 91004,Moscow Russia,Corporation Production Aircraft Tashkent,0,7,12,December,1999-12-05,5,2,28.57142857142857,0.7142857142857143,5,Ilyushin,5,1999-12
1969,Qtr 4,December,10,Russia,Ilyushin 14PCCCP 52010,Off Makhachkala Russia,Aeroflot,0,17,12,December,1969-12-10,17,0,0.0,1.0,17,Ilyushin,17,1969-12
1954,Qtr 4,December,31,Russia,Ilyushin II 14?,Irkutsk Russia,Aeroflot,0,17,12,December,1954-12-31,17,0,0.0,1.0,17,Ilyushin,17,1954-12
2001,Qtr 4,December,1,Russia,Ilyushin IL 76TDRA,Near Novaya Inya Russia,cargo Russian - Military,0,18,12,December,2001-12-01,18,0,0.0,1.0,18,Ilyushin,18,2001-12
1947,Qtr 4,December,18,Russia,Ilyushin IL 12CCCP,Krasnoyarsk Russia,Aeroflot,0,25,12,December,1947-12-18,9,16,64.0,0.36,9,Ilyushin,9,1947-12
1957,Qtr 4,December,18,Russia,Ilyushin IL 12CCCP,Near Birobidzhan Russia,Aeroflot,0,27,12,December,1957-12-18,27,0,0.0,1.0,27,Ilyushin,27,1957-12
1976,Qtr 4,December,18,Russia,Ilyushin IL 14MCCCP,Nnear Yuzhno-Sakhalinsk Russia,Aeroflot,0,8,12,December,1976-12-18,8,0,0.0,1.0,8,Ilyushin,8,1976-12
1960,Qtr 4,December,26,Russia,Ilyushin IL 18ACCCP,Near Ulyanovsk Russia,Aeroflot,0,17,12,December,1960-12-26,17,0,0.0,1.0,17,Ilyushin,17,1960-12
1961,Qtr 4,December,17,Russia,Ilyushin IL 18BCCCP,Near Chebotovka Russia,Aeroflot,0,59,12,December,1961-12-17,59,0,0.0,1.0,59,Ilyushin,59,1961-12
