Year,Quarter,Month,Day,Country,Aircraft,Location,Operator,Ground,Aboard,Month_Num,Month_Name,Date,Fatalities_Air,Survived,Survival_Rate,Fatality_Rate,Total_Deaths,Manufacturer,Total_Fatalities,YearMonth
1970,Qtr 2,April,28,Kainatu,de Havilland Canada DHC 6 Twin Otter 100VH,Kainatu,Airlines Australia GuineaTrans New,0,11,4,April,1970-04-28,8,3,27.27272727272727,0.7272727272727273,8,de Havilland Canada,8,1970-04
1952,Qtr 2,April,30,Delhi,Douglas DC 3VT,Delhi,Airways IndiaDeccan,0,9,4,April,1952-04-30,9,0,0.0,1.0,9,Douglas,9,1952-04
1973,Qtr 2,April,10,Near Basel,Vickers Vanguard 952G AXOP,Near Basel,(UK) Airlines International SwitzerlandInvicta,0,145,4,April,1973-04-10,108,37,25.517241379310345,0.7448275862068966,108,Vickers Vanguard,108,1973-04
2000,Qtr 2,April,19,Unknown,Antonov AN 8TL,Pepa -,Airlines Centrafricain,0,24,4,April,2000-04-19,24,0,0.0,1.0,24,Antonov,24,2000-04
1946,Qtr 2,April,30,Unknown,Douglas C 47A FZ559,Pindi-Khut -,Force Air Royal,0,12,4,April,1946-04-30,12,0,0.0,1.0,12,Douglas,12,1946-04
1960,Qtr 2,April,14,Unknown,Douglas DC 4?,Taipei -,Force Air Thai Royal,0,18,4,April,1960-04-14,18,0,0.0,1.0,18,Douglas,18,1960-04
2024,Qtr 2,April,23,Alaska,Douglas C-54D Skymaster N3054V,Near Fairbanks,Alaska Air Fuel,0,2,4,April,2024-04-23,2,0,0.0,1.0,2,Douglas,2,2024-04
1958,Qtr 2,April,21,Unknown,Douglas DC 7 / F,Near Sloan 10,Nevada Vegas Las of SW miles United Air Lines / Military - U.S. Air Force,0,49,4,April,1958-04-21,49,0,0.0,1.0,49,Douglas,49,1958-04
1997,Qtr 2,April,23,Afghanistan,Antonov AN 26?,Near Konduz Afghanistan,Force Air Republican Afghan - Military,0,36,4,April,1997-04-23,36,0,0.0,1.0,36,Antonov,36,1997-04
1988,Qtr 2,April,10,Afghanistan,Antonov AN 26?,Near Mazâr-e Charif Afghanistan,Force Air Republican Afghan - Military,0,29,4,April,1988-04-10,29,0,0.0,1.0,29,Antonov,29,1988-04
1993,Qtr 2,April,27,Afghanistan,Antonov AN 32?,Near Kholm Afghanistan,Force Air Republican Afghan - Military,0,76,4,April,1993-04-27,76,0,0.0,1.0,76,Antonov,76,1993-04
2006,Qtr 2,April,24,Afghanistan,Antonov AN 32BZS,Lashkar Gah Afghanistan,(leased) Government U.S.,3,16,4,April,2006-04-24,2,14,87.5,0.125,5,Antonov,5,2006-04
2013,Qtr 2,April,29,Afghanistan,Boeing B 747,Bagram Air Base Afghanistan,Cargo Air National,0,7,4,April,2013-04-29,7,0,0.0,1.0,7,Boeing,7,2013-04
1973,Qtr 2,April,18,Afghanistan,de Havilland Canada DHC 6 Twin Otter 100YA,Bamiyan Afghanistan,Airlines Afghan Bakhtar,0,19,4,April,1973-04-18,4,15,78.94736842105263,0.21052631578947367,4,de Havilland Canada,4,1973-04
1994,Qtr 2,April,26,Aichi,Airbus A300B4 622RB,Near Komaki Aichi,Japan China Airlines (Taiwan),0,271,4,April,1994-04-26,264,7,2.5830258302583027,0.974169741697417,264,Airbus,264,1994-04
1956,Qtr 2,April,9,Alaska,Aero Commander 520B5386N,Skilak Lake Alaska,Airlines Cordova,0,6,4,April,1956-04-09,6,0,0.0,1.0,6,Aero Commander,6,1956-04
1976,Qtr 2,April,5,Alaska,Boeing B 727,Ketchikan Alaska,Airlines Alaska,0,50,4,April,1976-04-05,1,49,98.0,0.02,1,Boeing,1,1976-04
1983,Qtr 2,April,7,Alaska,Britten Norman BN,Selawik Alaska,Airlines Northern Munz,0,3,4,April,1983-04-07,2,1,33.33333333333333,0.6666666666666666,2,Britten,2,1983-04
1964,Qtr 2,April,17,Alaska,Cessna 185N9984X,Elim Alaska,Inc. Airlines Alaska Wein,0,2,4,April,1964-04-17,2,0,0.0,1.0,2,Cessna,2,1964-04
1997,Qtr 2,April,10,Alaska,Cessna 208B Caravan IN408GV,Near Wainwright Alaska,Services Aviation Hageland,0,5,4,April,1997-04-10,5,0,0.0,1.0,5,Cessna 208B Caravan,5,1997-04
1982,Qtr 2,April,11,Alaska,Hughes 369DN11058,Near Tanana Alaska,Copters Tundra - Taxi Air,0,3,4,April,1982-04-11,3,0,0.0,1.0,3,Hughes,3,1982-04
1993,Qtr 2,April,6,Alaska,McDonnell Douglas MD 11B,950 nm S of Shemya Alaska,Airlines Eastern China,0,264,4,April,1993-04-06,2,262,99.24242424242425,0.007575757575757576,2,McDonnell Douglas,2,1993-04
1944,Qtr 2,April,6,Alaska,Pilgrim 100BNC742N,Near Nome Alaska,Airways World American Pan,0,6,4,April,1944-04-06,6,0,0.0,1.0,6,Pilgrim,6,1944-04
1957,Qtr 2,April,8,Algeria,Douglas DC 3F,Algiers Algeria,France Air,0,34,4,April,1957-04-08,34,0,0.0,1.0,34,Douglas,34,1957-04
1967,Qtr 2,April,11,Algeria,Douglas DC 47T,Tamanrasset Algeria,Algerie Air,0,39,4,April,1967-04-11,35,4,10.256410256410255,0.8974358974358975,35,Douglas,35,1967-04
2018,Qtr 2,April,11,Algeria,Ilyushin 76 TD7T,Boufarik AB Algeria,Force Air Algerian - Military,0,257,4,April,2018-04-11,257,0,0.0,1.0,257,Ilyushin,257,2018-04
1988,Qtr 2,April,27,Angola,Antonov AN 2614,Near Tchamulate Angola,Force Air Cuban - Military,0,29,4,April,1988-04-27,29,0,0.0,1.0,29,Antonov,29,1988-04
2001,Qtr 2,April,28,Argentina,Cessna 208B Grand CaravanLV WSC,Near Roque Perez Argentina,group Techint - Private,0,10,4,April,2001-04-28,10,0,0.0,1.0,10,Cessna 208B Grand,10,2001-04
1954,Qtr 2,April,23,Argentina,Douglas DC 3LV,Sierra del Vilgo Argentina,Argentinas Aerolineas,0,25,4,April,1954-04-23,25,0,0.0,1.0,25,Douglas,25,1954-04
1976,Qtr 2,April,14,Argentina,Hawker Siddeley HS 748 2LV,Neuquen Argentina,Fiscales Petroliferos Yacimientos,0,34,4,April,1976-04-14,34,0,0.0,1.0,34,Hawker Siddeley,34,1976-04
1985,Qtr 2,April,11,Argentina,HS 125,Salta Argentina,YPF,0,7,4,April,1985-04-11,7,0,0.0,1.0,7,HS,7,1985-04
1921,Qtr 2,April,6,Australia,Avro 504H3021,Point Cook Australia,Force Air Australian Royal - Military,0,2,4,April,1921-04-06,2,0,0.0,1.0,2,Avro,2,1921-04
1945,Qtr 2,April,19,Australia,Douglas DC 339067,Near Perth Australia,Navy U.S. - Military,0,13,4,April,1945-04-19,13,0,0.0,1.0,13,Douglas,13,1945-04
1942,Qtr 2,April,21,Australia,Lockheed 14 ElectraVH ADY,Pine Creek Australia,Limited Airways Guinea,0,12,4,April,1942-04-21,12,0,0.0,1.0,12,Lockheed 18,12,1942-04
2008,Qtr 2,April,9,Australia,Swearingen SA227AC Metroliner IIIVH OZA,Bundeena Australia,Services Air Avtex,0,1,4,April,2008-04-09,1,0,0.0,1.0,1,Swearingen SA227AC Metroliner,1,2008-04
1966,Qtr 2,April,23,Azerbaijan,Ilyushin IL 14CCCP,Off Baku Azerbaijan,Aeroflot,0,33,4,April,1966-04-23,33,0,0.0,1.0,33,Ilyushin,33,1966-04
1997,Qtr 2,April,15,Azerbaijan,Yakovlev 404K 87504,Gyandzha Azerbaijan,Airlines Azerbaijan,0,6,4,April,1997-04-15,6,0,0.0,1.0,6,Yakovlev,6,1997-04
1969,Qtr 2,April,2,Bahamas,Curtiss C 46FN3914,Off New Providence Island Bahamas,Inc Bahamas the of Islands,0,2,4,April,1969-04-02,2,0,0.0,1.0,2,Curtiss,2,1969-04
1974,Qtr 2,April,22,Bali,Boeing B 707,Grogak Bali,Indonesia Pan American World Airways,0,107,4,April,1974-04-22,107,0,0.0,1.0,107,Boeing,107,1974-04
1960,Qtr 2,April,22,Belgian,Douglas C 54BOO,Bunia Belgian,(Belgium) SA CongoSobelair,0,35,4,April,1960-04-22,35,0,0.0,1.0,35,Douglas,35,1960-04
2008,Qtr 2,April,28,Black,Mil Mi 8TUR,Off Crimea Black,SeaNaftogaz,0,20,4,April,2008-04-28,20,0,0.0,1.0,20,Mil,20,2008-04
1985,Qtr 2,April,20,Bolivia,Convair CV 440CP,Santa Rosa Bolivia,Transportada Aereo Carga,0,4,4,April,1985-04-20,4,0,0.0,1.0,4,Convair,4,1985-04
1981,Qtr 2,April,6,Bolivia,Douglas C 47ACP,Laguna Soliz Bolivia,Urcupina,0,7,4,April,1981-04-06,7,0,0.0,1.0,7,Douglas,7,1981-04
1974,Qtr 2,April,4,Botswana,Douglas DC 4A2,Francistown Botswana,Services Air Wenela,0,84,4,April,1974-04-04,78,6,7.142857142857142,0.9285714285714286,78,Douglas,78,1974-04
1952,Qtr 2,April,29,Brazil,Boeing 377 10,Near Carolina Brazil,Airways World American Pan,0,50,4,April,1952-04-29,50,0,0.0,1.0,50,Boeing,50,1952-04
1980,Qtr 2,April,12,Brazil,Boeing B 727,Florianopolis Brazil,Transbrasil,0,58,4,April,1980-04-12,55,3,5.172413793103448,0.9482758620689655,55,Boeing,55,1980-04
1956,Qtr 2,April,18,Brazil,Consolidated PBY 5A CatalinaPP,Parintins Brazil,Brasil do Panair,0,12,4,April,1956-04-18,3,9,75.0,0.25,3,Consolidated,3,1956-04
1957,Qtr 2,April,7,Brazil,Curtiss C 46A,Bage Brazil,Varig,0,40,4,April,1957-04-07,40,0,0.0,1.0,40,Curtiss,40,1957-04
1953,Qtr 2,April,10,Brazil,Doublas Dc 3?,Near Anchieta Island Brazil,REAL,0,0,4,April,1953-04-10,26,-26,-inf,Unknown,26,Douglas,26,1953-04
1957,Qtr 2,April,10,Brazil,Douglas DC 3PP,Anchieta Island Brazil,REAL,0,30,4,April,1957-04-10,26,4,13.333333333333334,0.8666666666666667,26,Douglas,26,1957-04
1960,Qtr 2,April,12,Brazil,Douglas DC 3PP,Pelotas Brazil,Cruzeiro,0,22,4,April,1960-04-12,10,12,54.54545454545454,0.45454545454545453,10,Douglas,10,1960-04
1984,Qtr 2,April,18,Brazil,Embraer 110EJ Band./Embraer 110P Band.PT GJZ/PT,Imperatriz Brazil,VOTEC / VOTEC,0,35,4,April,1984-04-18,19,16,45.714285714285715,0.5428571428571428,19,Embraer 110EJ Band./Embraer 110P,19,1984-04
1999,Qtr 2,April,7,Brazil,Learjet 24DPT LEM,Ribeirao Preto Brazil,Aéreo Táxi Manacá,0,5,4,April,1999-04-07,5,0,0.0,1.0,5,Learjet,5,1999-04
1972,Qtr 2,April,12,Brazil,NAMC YS 11A,Near Rio de Janeiro Brazil,VASP,0,25,4,April,1972-04-12,25,0,0.0,1.0,25,NAMC,25,1972-04
2011,Qtr 2,April,21,Brazil Amazonaves,Embraer/Piper EMB 810C SenecaPT,Manaus Brazil Amazonaves,Taxi Air,0,7,4,April,2011-04-21,7,0,0.0,1.0,7,Embraer/Piper,7,2011-04
1947,Qtr 2,April,28,British,Lockheed 18 LoadstarCF TDF,Near Vancouver British,Canada Columbia Trans Canada Air Lines,0,15,4,April,1947-04-28,15,0,0.0,1.0,15,Lockheed 18,15,1947-04
1933,Qtr 2,April,23,Calabria,Cams 53 1F,Near Castrovillari Calabria,Italy Air Orient,0,8,4,April,1933-04-23,5,3,37.5,0.625,5,Cams,5,1933-04
1952,Qtr 2,April,18,California,Curtiss C 46F,Near Whittier California,Airlines) (Robin Airlines Continental North,0,29,4,April,1952-04-18,29,0,0.0,1.0,29,Curtiss,29,1952-04
1992,Qtr 2,April,22,California,de Havilland Canada DHC 6 Twin Otter 200N141PV,Perris Valley California,Aviation Valley Perris,0,22,4,April,1992-04-22,16,6,27.27272727272727,0.7272727272727273,16,de Havilland Canada,16,1992-04
1953,Qtr 2,April,20,California,Douglas DC 6BN91303,San Francisco Bay California,Airlines Western,0,10,4,April,1953-04-20,8,2,20.0,0.8,8,Douglas,8,1953-04
1929,Qtr 2,April,21,California,Ford 5 AT,San Diego California,Force Air U.S.Army - Military / Airlines Maddux,0,6,4,April,1929-04-21,6,0,0.0,1.0,6,Ford,6,1929-04
1979,Qtr 2,April,14,California,Grumman G 21 GooseN11CS,Off Avalon California,Airlines Catalina,0,11,4,April,1979-04-14,1,10,90.9090909090909,0.09090909090909091,1,Grumman,1,1979-04
1973,Qtr 2,April,12,California,Lockheed P 3C / Convair CV,Moffett AFB California,NASA / Navy U.S. - Military,0,17,4,April,1973-04-12,16,1,5.88235294117647,0.9411764705882353,16,Lockheed,16,1973-04
2006,Qtr 2,April,23,Cameroon,Antonov 74TK 200UR,Kousséri Cameroon,Force Air Arab Lybian - Military,0,6,4,April,2006-04-23,6,0,0.0,1.0,6,Antonov,6,2006-04
1955,Qtr 2,April,18,Cameroons,de Havilland DH 114 Heron 1BF,Kupe Mountains Cameroons,Aeriens Transportes des Union,0,14,4,April,1955-04-18,12,2,14.285714285714285,0.8571428571428571,12,De Havilland,12,1955-04
1944,Qtr 2,April,25,Canada,Consolidated Liberator?,Montreal Canada,Force Air Royal - Military,0,16,4,April,1944-04-25,16,0,0.0,1.0,16,Consolidated,16,1944-04
1991,Qtr 2,April,4,Canada,Douglas C 47B,Lake Thutade Canada,Services Air Mountain Central,0,7,4,April,1991-04-04,6,1,14.285714285714285,0.8571428571428571,6,Douglas,6,1991-04
1980,Qtr 2,April,25,Canary,Boeing B 727,Tenerife Canary,Services Air IslandsDan,0,146,4,April,1980-04-25,146,0,0.0,1.0,146,Boeing,146,1980-04
1965,Qtr 2,April,14,Channel,Douglas C 47BG,Jersey Channel,UKBritish United Airways Islands,0,27,4,April,1965-04-14,26,1,3.7037037037037033,0.9629629629629629,26,Douglas,26,1965-04
2007,Qtr 2,April,27,Chechnya,Mi 8?,Shatoi Chechnya,Russian - Military,0,18,4,April,2007-04-27,18,0,0.0,1.0,18,Mil,18,2007-04
1954,Qtr 2,April,13,Chile,Douglas DC 3956,Batuco Chile,LAN,0,14,4,April,1954-04-13,14,0,0.0,1.0,14,Douglas,14,1954-04
1961,Qtr 2,April,3,Chile,Douglas DC 3CC,Llico Chile,LAN,0,24,4,April,1961-04-03,24,0,0.0,1.0,24,Douglas,24,1961-04
1968,Qtr 2,April,8,Chile,Douglas DC 3CC,Near Coyhaique Chile,Ladeco,0,36,4,April,1968-04-08,36,0,0.0,1.0,36,Douglas,36,1968-04
2019,Qtr 2,April,16,Chile,Pilatus Britten Norman BN,Puerto Montt Chile,Aereos Service Archipelagos,0,6,4,April,2019-04-16,6,0,0.0,1.0,6,Pilatus,6,2019-04
1945,Qtr 2,April,9,China,Douglas C 4788,Kunming China,Corporation Aviation National China,0,3,4,April,1945-04-09,3,0,0.0,1.0,3,Douglas,3,1945-04
1999,Qtr 2,April,15,China,McDonnell Douglas MD 11HL,Shanghi China,Air Korean,0,3,4,April,1999-04-15,3,0,0.0,1.0,3,McDonnell Douglas,3,1999-04
1934,Qtr 2,April,10,China,Sikorsky S 38BBNV17V,Ningpo Bay China,Corporation Aviation National China,0,3,4,April,1934-04-10,3,0,0.0,1.0,3,Sikorsky,3,1934-04
1946,Qtr 2,April,8,China?,??,Near Shensi China?,Unknown Operator,0,14,4,April,1946-04-08,14,0,0.0,1.0,14,??,14,1946-04
1922,Qtr 2,April,8,China?,??,Pao Ting Fou China?,Unknown Operator,0,17,4,April,1922-04-08,17,0,0.0,1.0,17,??,17,1922-04
1989,Qtr 2,April,26,Colombia,Aérospatiale SE 210 CaravelleHK,Baranquilla Colombia,Colombia Aerosucre,0,5,4,April,1989-04-26,5,0,0.0,1.0,5,Aérospatiale,5,1989-04
2002,Qtr 2,April,19,Colombia,Antonov AN 32AHK,Popayán Colombia,Colombia SELVA,0,8,4,April,2002-04-19,3,5,62.5,0.375,3,Antonov,3,2002-04
2012,Qtr 2,April,30,Colombia,Bell 212FAC 4020,Sabanagrande Colombia,Colombiana Aerea -Fuerza Military,0,13,4,April,2012-04-30,13,0,0.0,1.0,13,Bell 212FAC,13,2012-04
1998,Qtr 2,April,20,Colombia,Boeing B 727,Near Bogota Colombia,France Air,0,53,4,April,1998-04-20,53,0,0.0,1.0,53,Boeing,53,1998-04
1960,Qtr 2,April,19,Colombia,Curtiss C 46HK,Bogota Colombia,Colombiano Aereo Lloyd,0,51,4,April,1960-04-19,37,14,27.450980392156865,0.7254901960784313,37,Curtiss,37,1960-04
1999,Qtr 2,April,8,Colombia,de Havilland Canada DHC 6 Twin Otter 300HK,Near Malaga Colombia,Aerotaca,0,5,4,April,1999-04-08,5,0,0.0,1.0,5,de Havilland Canada,5,1999-04
1986,Qtr 2,April,27,Colombia,de Havilland Canada DHC 6 Twin Otter 300HK,Near Saravena Colombia,Colombia ACES,0,13,4,April,1986-04-27,13,0,0.0,1.0,13,de Havilland Canada,13,1986-04
1978,Qtr 2,April,29,Colombia,Douglas C 118AHK,Bogota Colombia,Colombia LAC,0,12,4,April,1978-04-29,8,4,33.33333333333333,0.6666666666666666,8,Douglas,8,1978-04
1950,Qtr 2,April,15,Colombia,Douglas C 47 (DC,Santa Ana Colombia,Nacionales Aéreas Lineas,0,4,4,April,1950-04-15,2,2,50.0,0.5,2,Douglas,2,1950-04
1962,Qtr 2,April,22,Colombia,Douglas C 47A,Serrania del Baudo Colombia,AVISPA,0,40,4,April,1962-04-22,40,0,0.0,1.0,40,Douglas,40,1962-04
1962,Qtr 2,April,6,Colombia,Douglas C 47FAC,Near Villavicencio Colombia,Force Air Colombian - Military,0,31,4,April,1962-04-06,31,0,0.0,1.0,31,Douglas,31,1962-04
1977,Qtr 2,April,10,Colombia,Douglas DC 3,SW of Bogota Colombia,Venado El,0,35,4,April,1977-04-10,35,0,0.0,1.0,35,Douglas,35,1977-04
1976,Qtr 2,April,2,Colombia,Douglas DC 3FAC,Near Puerto Asis Colombia,Satena,0,16,4,April,1976-04-02,5,11,68.75,0.3125,5,Douglas,5,1976-04
1951,Qtr 2,April,2,Colombia,Douglas DC 3HK,Bogota Colombia,Avianca,0,26,4,April,1951-04-02,26,0,0.0,1.0,26,Douglas,26,1951-04
1967,Qtr 2,April,26,Colombia,Douglas DC 3HK,Near Sogamosa Colombia,Avianca,0,18,4,April,1967-04-26,17,1,5.555555555555555,0.9444444444444444,17,Douglas,17,1967-04
1989,Qtr 2,April,19,Colombia,Pilatus PC 6 Turbo PorterFAC,Near Cucuta Colombia,Satena,0,11,4,April,1989-04-19,11,0,0.0,1.0,11,Pilatus,11,1989-04
1981,Qtr 2,April,17,Colorado,Hadley Page 137Jetstream I / Cessna 206N11360 / N4862F,Loveland Colorado,Private / US Air,0,19,4,April,1981-04-17,15,4,21.052631578947366,0.7894736842105263,15,Hadley Page 137Jetstream I / Cessna 206N11360 /,15,1981-04
2011,Qtr 2,April,4,Congo,Canadair CL 600 CRJ,Kinshasa Congo,Nations United,0,33,4,April,2011-04-04,32,1,3.0303030303030303,0.9696969696969697,32,Canadair,32,2011-04
2008,Qtr 2,April,15,Congo,McDonnell Douglas DC 9,Goma Congo,Airways Bora Hewa,37,94,4,April,2008-04-15,3,91,96.80851063829788,0.031914893617021274,40,McDonnell Douglas,40,2008-04
1996,Qtr 2,April,3,Croatia,Boeing B 737,Near Dubrovnik Croatia,Force Air U.S. - Military,0,35,4,April,1996-04-03,35,0,0.0,1.0,35,Boeing,35,1996-04
1988,Qtr 2,April,5,Cyprus,Boeing B 747,Combi Cyprus,Airways Kuwait,0,112,4,April,1988-04-05,2,110,98.21428571428571,0.017857142857142856,2,Boeing,2,1988-04
1967,Qtr 2,April,20,Cyprus,Bristol Britannia 175HB ITB,Near Nicosia Cyprus,Air Globe,0,130,4,April,1967-04-20,126,4,3.076923076923077,0.9692307692307692,126,Bristol Britannia,126,1967-04
2009,Qtr 2,April,29,Democratic,Boeing B 737,Massamba Democratic,Air CongoBako of Republic,0,7,4,April,2009-04-29,7,0,0.0,1.0,7,Boeing,7,2009-04
1997,Qtr 2,April,14,Democratic,Fokker F 27 Friendship 600D2,Brazzaville Democratic,Airlines Angola CongoTAAG Republic,0,7,4,April,1997-04-14,3,4,57.14285714285714,0.42857142857142855,3,Fokker,3,1997-04
1969,Qtr 2,April,21,East,Fokker F 27 Friendship 100VT,Khulna East,Airlines PakistanIndian,0,44,4,April,1969-04-21,44,0,0.0,1.0,44,Fokker,44,1969-04
1994,Qtr 2,April,6,Ecuador,de Havilland Canada DHC 6 Twin Otter 300FAE450,Ambato Ecuador,TAME,0,17,4,April,1994-04-06,17,0,0.0,1.0,17,de Havilland Canada,17,1994-04
1958,Qtr 2,April,7,Ecuador,Douglas DC 3HC,Mt. Illiniza Ecuador,AREA,0,32,4,April,1958-04-07,32,0,0.0,1.0,32,Douglas,32,1958-04
1958,Qtr 2,April,2,Ecuador,Junkers JU 52/3mHC,Quito Ecuador,Orientales Aereos Transportes,0,14,4,April,1958-04-02,3,11,78.57142857142857,0.21428571428571427,3,Junkers,3,1958-04
1983,Qtr 2,April,29,Ecuador,Sud Aviation SE 210 Caravelle VIRHC,Guayaquil Ecuador,Ecuador SAN,0,100,4,April,1983-04-29,8,92,92.0,0.08,8,Sud Aviation,8,1983-04
1979,Qtr 2,April,23,Ecuador,Vickers Viscount 785DHC AVP,Near Cuenca Ecuador,SAETA,0,57,4,April,1979-04-23,57,0,0.0,1.0,57,Vickers Viscount,57,1979-04
1956,Qtr 2,April,30,England,Avro 685 York C 1G,London England,Airlines Scottish,0,54,4,April,1956-04-30,2,52,96.29629629629629,0.037037037037037035,2,Avro 685 York,2,1956-04
1990,Qtr 2,April,30,England,Avro Shackleton AEW 2WR965,Tarbert England,Force Air Royal - Military,0,10,4,April,1990-04-30,10,0,0.0,1.0,10,Avro Shackleton,10,1990-04
1950,Qtr 2,April,13,England,Vickers 610 Viking 1BG AIVL,Near Hastings England,Airways European British,0,32,4,April,1950-04-13,0,32,100.0,0.0,0,Vickers 610 Viking,0,1950-04
2008,Qtr 2,April,16,Equatorial,Antonov An 32B3C,Off Annobon Island Equatorial,Guinea Equatorial of Government - GuineaMilitary,0,13,4,April,2008-04-16,13,0,0.0,1.0,13,Antonov,13,2008-04
1977,Qtr 2,April,19,Estonia,Antonov AN 24?,Tapa AFB Estonia,Force Air Soviet - Military,0,21,4,April,1977-04-19,21,0,0.0,1.0,21,Antonov,21,1977-04
1972,Qtr 2,April,18,Ethiopia,BAC Super VC 10 11545X,Addis Ababa Ethiopia,Airways African East,0,107,4,April,1972-04-18,43,64,59.813084112149525,0.40186915887850466,43,BAC Super,43,1972-04
2014,Qtr 2,April,20,Finland,Aerocomp Comp Air 8OH XDZ,Jamijarvi Finland,Urheiluilmailijat Suomen,0,8,4,April,2014-04-20,8,0,0.0,1.0,8,Aerocomp Comp Air,8,2014-04
1983,Qtr 2,April,30,Florida,Convair CV 340141010,Jacksonville Florida,Navy States United - Military,0,15,4,April,1983-04-30,15,0,0.0,1.0,15,Convair,15,1983-04
1955,Qtr 2,April,2,Florida,Curtiss C 46AN51424,Off Pensacola Florida,Airlines Aaxico,0,2,4,April,1955-04-02,2,0,0.0,1.0,2,Curtiss,2,1955-04
1951,Qtr 2,April,25,Florida,Douglas DC 4 /Beechcraft SMB,Key West Florida,Navy US - Military / Aviacion de Cubana,0,43,4,April,1951-04-25,43,0,0.0,1.0,43,Douglas,43,1951-04
2000,Qtr 2,April,5,Florida,Learjet 35AN86BE,Marianna Florida,Bankair,0,3,4,April,2000-04-05,3,0,0.0,1.0,3,Learjet,3,2000-04
1922,Qtr 2,April,7,France,de Havilland DH 18 / Farman F,Grandvilliers France,Aeriens Express Grands / Airways Daimler,0,7,4,April,1922-04-07,7,0,0.0,1.0,7,De Havilland,7,1922-04
1989,Qtr 2,April,10,France,Fairchild FH 227BF,Col de Tourniol France,EAS Service Aero Europe,0,22,4,April,1989-04-10,22,0,0.0,1.0,22,Fairchild,22,1989-04
1935,Qtr 2,April,1,France,Farman F 300F,Beauvais France,France Air,0,3,4,April,1935-04-01,1,2,66.66666666666666,0.3333333333333333,1,Farman,1,1935-04
1936,Qtr 2,April,21,France,Fokker F VIIOO,Senlis France,Sabena,0,2,4,April,1936-04-21,2,0,0.0,1.0,2,Fokker,2,1936-04
1991,Qtr 2,April,19,French,Dornier Do 228,Off Nuka Hiva French,Tahiti PolynesiaAir,0,22,4,April,1991-04-19,11,11,50.0,0.5,11,Dornier,11,1991-04
1993,Qtr 2,April,27,Gambia,de Havilland Canada DHC 5D BuffaloAF,Off Libreville Gambia,Force Air Zambian - Military,0,30,4,April,1993-04-27,30,0,0.0,1.0,30,de Havilland Canada,30,1993-04
1997,Qtr 2,April,4,Georgia,Aviation Traders ATL 98 CarvairN83FA,Griffin Georgia,Service Air Custom,0,2,4,April,1997-04-04,2,0,0.0,1.0,2,Aviation Traders,2,1997-04
1947,Qtr 2,April,22,Georgia,Douglas DC 3 (C,Columbus Georgia,Lines Air Delta,0,10,4,April,1947-04-22,10,0,0.0,1.0,10,Douglas,10,1947-04
1991,Qtr 2,April,5,Georgia,Embraer 120RT BrasiliaN270AS,Brunswick Georgia,Airlines Southeast Atlantic,0,23,4,April,1991-04-05,23,0,0.0,1.0,23,Embraer,23,1991-04
1977,Qtr 2,April,4,Georgia,McDonnell Douglas DC 9,New Hope Georgia,Airways Southern,8,85,4,April,1977-04-04,62,23,27.058823529411764,0.7294117647058823,70,McDonnell Douglas,70,1977-04
1945,Qtr 2,April,21,Germany,Focke Wulf FW 200D,Near Piesenkofen Germany,Lufthansa Deutsche,0,21,4,April,1945-04-21,21,0,0.0,1.0,21,Focke,21,1945-04
1935,Qtr 2,April,6,Germany,Fokker F 12PH,Brilon Germany,Airlines Dutch Royal KLM,0,7,4,April,1935-04-06,7,0,0.0,1.0,7,Fokker,7,1935-04
1927,Qtr 2,April,22,Germany,Fokker FG IIID 729,Floh Germany,Lufthansa Deutsche,0,2,4,April,1927-04-22,2,0,0.0,1.0,2,Fokker,2,1927-04
1933,Qtr 2,April,3,Germany,Junkers F 13D,Hemkenrode Germany,Lufthansa Deutsche,0,2,4,April,1933-04-03,1,1,50.0,0.5,1,Junkers,1,1933-04
1945,Qtr 2,April,20,Germany,Junkers JU 53/3mD,Near Steinreich Germany,Lufthansa,0,20,4,April,1945-04-20,18,2,10.0,0.9,18,Junkers,18,1945-04
1933,Qtr 2,April,29,Germany,Junkers W 34D,Traunstein Germany,Eurasia,0,4,4,April,1933-04-29,4,0,0.0,1.0,4,Junkers,4,1933-04
1931,Qtr 2,April,14,Germany,Messerschmitt M 20D,Near Letschen Germany,Lufthansa Deutsche,0,10,4,April,1931-04-14,2,8,80.0,0.2,2,Messerschmitt,2,1931-04
1948,Qtr 2,April,5,Germany,Vickers Viking 1B & Soviet YAK 3 fighterG,Near Berlin Germany,Force Air Soviet - Military / Airways European British,0,14,4,April,1948-04-05,14,0,0.0,1.0,14,Vickers Viking 1B & Soviet,14,1948-04
1969,Qtr 2,April,24,Ghana,Douglas DC 39G,Near Takoradi Ghana,Airways Ghana,0,33,4,April,1969-04-24,1,32,96.96969696969697,0.030303030303030304,1,Douglas,1,1969-04
1986,Qtr 2,April,2,Greece,Boeing B 727N54340,Near Athens Greece,Airlines World Trans,0,121,4,April,1986-04-02,4,117,96.69421487603306,0.03305785123966942,4,Boeing,4,1986-04
1985,Qtr 2,April,20,Greenland,Fokker F 27 Friendship 100YN,Kulusuk Greenland,Aeronica,0,5,4,April,1985-04-20,2,3,60.0,0.4,2,Fokker,2,1985-04
1982,Qtr 2,April,26,Guangxi,Hawker Siddeley Trident 2EB 266,Near Yangshuo Guangxi,China CAAC,0,112,4,April,1982-04-26,112,0,0.0,1.0,112,Hawker Siddeley Trident,112,1982-04
